bXxy	bXxy	0	0		adj:sg:nom:m
bxXyY	bxXyY	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
bxXYy	bxXYy	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
bXxyY	bXxyY	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
bXxYy	bXxYy	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
bz	bz	0	0		subst:sg:nom:m
c	c	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
dEFiJ	dEFiJ	0	0		verb:inf:perf
dEGHIik	dEGHIik	0	0		verb:inf:perf
dEGHiJ	dEGHiJ	0	0		verb:inf:perf
dEhHi	dEhHi	0	0		verb:inf:?perf
dEHhi	dEHhi	0	0		verb:inf:?perf
dEhHiIk	dEhHiIk	0	0		verb:inf:?perf
dEhHIik	dEhHIik	0	0		verb:inf:?perf
dEHhIik	dEHhIik	0	0		verb:inf:?perf
dEHhiIk	dEHhiIk	0	0		verb:inf:perf
dEhHik	dEhHik	0	0		verb:inf:?perf
dEHhik	dEHhik	0	0		verb:inf:?perf
dEhHj	dEhHj	0	0		verb:inf:perf
dEHi	dEHi	0	0		verb:inf:?perf
dEHiI	dEHiI	0	0		verb:inf:?perf
dEHIi	dEHIi	0	0		verb:inf:?perf
dEHIiJk	dEHIiJk	0	0		verb:inf:perf
dEHiIk	dEHiIk	0	0		verb:inf:?perf
dEHIik	dEHIik	0	0		verb:inf:?perf
dEHiJ	dEHiJ	0	0		verb:inf:?perf
dEHiJk	dEHiJk	0	0		verb:inf:?perf
dEHIjk	dEHIjk	0	0		verb:inf:?perf
dEHik	dEHik	0	0		verb:inf:?perf
dEiJ	dEiJ	0	0		verb:inf:imperf+verb:inf:?perf
dFGiJ	dFGiJ	0	0		verb:inf:perf
dFhi	dFhi	0	0		subst:sg:nom:m+verb:inf:?perf+verb:inf:?perf
dFiJ	dFiJ	0	0		verb:inf:perf
dGHiIk	dGHiIk	0	0		verb:inf:perf
dGHIik	dGHIik	0	0		verb:inf:perf
dGHiJ	dGHiJ	0	0		verb:inf:perf
dGHiJk	dGHiJk	0	0		verb:inf:perf
dhHi	dhHi	0	0		verb:inf:?perf
dHhi	dHhi	0	0		verb:inf:perf
dHhiIk	dHhiIk	0	0		verb:inf:?perf
dHhIik	dHhIik	0	0		verb:inf:?perf
